t,ra,dec,distance,age,group_name,x,y,z
-50.204081632653065,217.19043021876027,-60.713386312954384,10270.421519711046,74.13102413009177,ASCC_105,7206.200689471652,-7317.931596662424,-10.34225177383587
-50.204081632653065,222.77693364086258,-59.57885196942498,9807.02000712904,16.98243652461746,ASCC_107,7237.412672640989,-6617.918375974632,-25.604590646180895
-50.204081632653065,191.75004334681788,-62.90768166743502,9159.966914214561,47.863009232263806,ASCC_114,4911.756058641433,-7731.72715539622,-6.440839483175296
-50.204081632653065,206.48723619807424,-62.26507009729059,10425.98737923379,44.668359215096345,ASCC_123,6593.341918597138,-8076.442917988677,-11.178948187528476
-50.204081632653065,207.49514628567093,-62.436490263744645,10019.90093119564,18.197008586099827,ASCC_127,6393.065142205318,-7715.166524553398,-57.77765056817725
-50.204081632653065,203.77769226437928,-61.93077041343269,10563.151912505567,13.489628825916531,ASCC_16,6509.651710644172,-8318.40666661369,93.39947330873656
-50.204081632653065,205.01456191490587,-61.8642605665379,10460.241076167813,10.471285480508984,ASCC_19,6530.061261020861,-8171.146323587596,85.5047214131182
-50.204081632653065,203.50399594640058,-61.995979920518096,10537.143018396147,8.912509381337458,ASCC_21,6473.701302516146,-8313.561278853036,85.2836367122809
-50.204081632653065,208.64819079348032,-61.56030124891197,10606.51580677007,25.118864315095824,ASCC_32,6870.937290891304,-8079.7925840758035,73.14439292453699
-50.204081632653065,217.68313217566367,-60.90702568603675,10656.683045252848,52.48074602497723,ASCC_58,7497.159114350299,-7573.229850952317,-60.731916967064535
-50.204081632653065,219.7410144515904,-60.0317456275844,11074.651445850926,18.620871366628656,ASCC_79,7964.440828589764,-7695.148327774576,16.70773858249595
-50.204081632653065,216.47372153239408,-61.109647988379905,10299.245512663525,70.79457843841374,ASCC_85,7166.128832960952,-7397.170093446393,-54.13213599818255
-50.204081632653065,222.42780875173355,-59.814660388318586,10597.975382080256,83.17637711026708,ASCC_87,7788.248667685066,-7187.316416366681,-52.417749922225994
-50.204081632653065,219.94092846543134,-59.38577193700519,10233.12400793358,91.20108393559096,Alessi_10,7402.47959087878,-7064.502289562799,113.71134126269908
-50.204081632653065,212.94788364299694,-60.975973568720455,10126.837774610542,35.481338923357534,Alessi_13,6844.672931148469,-7463.145218454856,68.9871519690414
-50.204081632653065,214.91133883779654,-61.73230037288772,9936.34180115571,25.70395782768865,Alessi_19,6798.281465815829,-7245.855530978363,-108.78936128825126
-50.204081632653065,209.416013260783,-61.84048099499037,9993.78391614933,9.332543007969903,Alessi_20,6511.71093671618,-7581.114929705704,5.836259864692693
-50.204081632653065,214.99293097395153,-61.271264801527686,10731.82477929547,66.06934480075964,Alessi_21,7368.9816866628025,-7801.838528221048,-38.56908987909446
-50.204081632653065,214.14535703583178,-61.04027464620001,10176.790112806184,72.44359600749905,Alessi_24,6947.752183003804,-7436.068631019081,26.07524591539095
-50.204081632653065,212.11020730692854,-61.71848296097767,10793.955759165836,11.481536214968816,Alessi_43,7211.206576731972,-8031.59963842418,-37.25434996651438
-50.204081632653065,218.26670354394795,-60.616103596313835,10558.914617057224,67.60829753919819,Alessi_5,7477.26686569062,-7455.215308934128,-30.377738297421274
-50.204081632653065,223.637930905809,-59.02777911237751,10743.740819122433,87.09635899560814,Alessi_Teutsch_12,8009.232992880289,-7160.964644853888,27.18472710984406
-50.204081632653065,192.8899800225011,-63.466373123566804,9307.750727894128,18.620871366628656,Alessi_Teutsch_5,5061.671335580879,-7810.529820006308,-96.59624198065649
-50.204081632653065,198.80037348695032,-62.12670243937624,9622.37557655419,10.471285480508984,Aveni_Hunter_1,5615.500363974171,-7813.16394119724,103.61769370018737
-50.204081632653065,216.91606642847304,-60.8876017207838,10731.174542519437,32.35936569296281,BH_164,7504.304191392854,-7670.886444143477,-32.04412764767494
-50.204081632653065,215.0056278200757,-60.954762974922936,10564.862748581809,28.84031503126605,BH_23,7269.3666229524815,-7666.313142689604,16.63116654494752
-50.204081632653065,212.9615142351966,-61.39297186153845,10930.00125258601,17.78279410038923,BH_56,7370.633739491821,-8070.853913728124,-1.6622442389098069
-50.204081632653065,217.5680611732297,-60.96766388467624,10621.18455478074,95.49925860214368,BH_99,7462.339922494521,-7557.681012932881,-67.09645751622611
-50.204081632653065,193.88501930301655,-62.25237261624389,9683.925479751995,100.0,COIN-Gaia_8,5331.833338999835,-8083.263058878119,104.03972076134505
-50.204081632653065,207.2053263241605,-61.85131603707795,10595.91652364127,24.54708915685029,Collinder_132,6760.379185845795,-8158.935129203603,49.97796518840369
-50.204081632653065,205.83009929427863,-62.28553896512863,10682.439753115043,26.30267991895381,Collinder_135,6711.606429212217,-8310.766861567758,-3.520079120290575
-50.204081632653065,205.27831120656234,-62.336094800040925,10695.149981383809,26.915348039269134,Collinder_140,6681.570185374254,-8351.217952963172,-3.418233102153863
-50.204081632653065,215.64640156755533,-61.154568662123,10645.420128083408,14.125375446227554,Collinder_197,7354.859440998436,-7696.076101971003,-37.748367253932884
-50.204081632653065,215.5842843068265,-61.89678022176459,9975.50540875148,37.15352290971728,Collinder_359,6855.4876141065415,-7244.929190258696,-154.91533493917268
-50.204081632653065,212.79837188550712,-60.968594459869045,9928.092281623303,91.20108393559096,Collinder_394,6701.7759994475255,-7324.474889544703,72.68010791424831
-50.204081632653065,207.4942555309142,-61.76098943133332,10568.692961431447,12.589254117941664,Collinder_69,6764.709449534517,-8119.8718292073645,60.48515217533895
-50.204081632653065,192.65647946889993,-63.15476970474824,10032.170965235237,19.05460717963248,Collinder_95,5440.366097072939,-8428.784773620799,-49.58069691357696
-50.204081632653065,188.53551493524785,-63.32270497973591,9261.777534461131,18.197008586099827,FSR_0398,4768.867493355128,-7939.235824105423,-83.4293588055948
-50.204081632653065,211.71914190911357,-61.3901746322616,10464.13338939075,9.332543007969903,Gulliver_10,6979.6048050528825,-7796.296207111783,31.141727946086576
-50.204081632653065,183.59448425554638,-62.93093753825011,9098.015447121961,18.197008586099827,Gulliver_48,4373.207680759126,-7977.821571273037,-57.468547483053044
-50.204081632653065,208.96701027442845,-61.52423654926617,10591.144953972596,16.595869074375596,Gulliver_6,6882.941842846671,-8049.359425914015,72.63509137355504
-50.204081632653065,214.76441671886056,-60.829019913848,10444.526053920259,17.78279410038923,Gulliver_9,7177.4231982616,-7587.534431486553,45.188218390941074
-50.204081632653065,216.4937714525459,-60.798738079363844,10629.18559130602,20.41737944669528,Haffner_13,7411.770777930887,-7618.742243751746,-2.625473266390145
-50.204081632653065,189.89767198688457,-63.443917772148595,9257.348254346594,12.02264434617413,IC_1396,4851.577117400457,-7883.604266826245,-97.36498471836194
-50.204081632653065,215.94634792852887,-60.816338334936894,10650.877189246872,28.84031503126605,IC_2391,7392.70302362558,-7667.397675314709,11.823429076456705
-50.204081632653065,211.2274833800203,-61.5004746319769,10317.12820162385,20.41737944669528,IC_2395,6847.061545730316,-7717.53339174445,23.682589231575548
-50.204081632653065,211.2288770449894,-61.365858354700926,10079.768172696973,36.3078054770101,IC_2602,6694.534873031727,-7535.438159462361,45.83660104568162
-50.204081632653065,204.1308319178804,-62.07024887509007,10569.340522224626,11.748975549395302,IC_348,6533.8440700424835,-8307.580175002897,62.867948980384426
-50.204081632653065,215.98268252802202,-61.484944709382916,10185.768149585587,33.113112148259084,IC_4665,7041.697923402848,-7358.949009205038,-101.15647570156489
-50.204081632653065,214.12437955255714,-61.18813923001085,10011.895918887622,51.28613839913648,Melotte_20,6827.875506320001,-7322.443091230999,1.7710215721826899
-50.204081632653065,212.3735801861471,-61.711192628251936,9750.67472253906,77.62471166286912,Melotte_22,6529.557216393789,-7241.480456722659,-38.74141847880628
-50.204081632653065,206.8716881127003,-61.90352499440576,10430.519057916146,11.481536214968816,NGC_1333,6631.723758429914,-8050.704115076027,46.16341545033265
-50.204081632653065,210.54988123940987,-61.30961126276775,10462.376445483867,97.72372209558112,NGC_1977,6907.828513736397,-7857.33892964074,73.83127100425554
-50.204081632653065,207.75262322786477,-61.5439126999185,10521.103570821211,13.182567385564074,NGC_1980,6757.864094656793,-8063.254387617281,93.92500554160506
-50.204081632653065,207.66569454058597,-62.15271915881136,10483.017331736466,17.78279410038923,NGC_2232,6708.558753268644,-8055.353423456796,-13.155023095073375
-50.204081632653065,197.50898264903853,-63.15506530973241,10158.695573300853,27.54228703338169,NGC_2264,5830.992884859168,-8318.326999795343,-63.668298233099904
-50.204081632653065,216.6789644346861,-61.04017577231206,10703.256548420799,35.481338923357534,NGC_2451A,7463.012857727005,-7672.063712923229,-50.77609241296159
-50.204081632653065,206.4048279108128,-62.31373824588067,10665.039474900736,40.7380277804113,NGC_2451B,6737.637757405048,-8267.221474223754,-18.80285389150231
-50.204081632653065,205.91385365954653,-62.237848228685785,10622.273671942512,32.35936569296281,NGC_2547,6680.689566992041,-8258.393977007303,3.7137119233702833
-50.204081632653065,217.94357026314495,-61.30225336282031,10584.82938852146,30.19951720402019,NGC_3228,7441.936865430707,-7525.788760062945,-136.72020319307285
-50.204081632653065,218.7680170742752,-59.7868180444936,10990.062643470337,100.0,NGC_6087,7856.366997193708,-7684.374707065148,96.74644295849703
-50.204081632653065,223.66077263924,-59.16156561388096,11420.941295226912,23.988329190194897,NGC_6250,8507.38479921677,-7619.861363172649,4.093055517191715
-50.204081632653065,218.22390543557754,-60.30522397374323,10633.620996840886,34.673685045253166,NGC_6405,7543.15781517205,-7494.93685283386,24.233280773211845
-50.204081632653065,213.59850125954017,-60.848887996025454,9958.650640935453,97.72372209558112,NGC_6716,6774.426482047903,-7299.09015757586,71.77255123914392
-50.204081632653065,203.7395816593977,-62.37782311300944,9919.73296007535,21.87761623949552,NGC_7039,6100.714570833678,-7821.90777781798,11.934811832757987
-50.204081632653065,215.90969973101045,-60.9118827676296,10150.637374380705,40.7380277804113,NGC_7058,7039.108955285344,-7313.437769985734,-3.4937575964140706
-50.204081632653065,204.30941983009427,-62.042337373432794,10269.774819483397,97.72372209558112,NGC_7063,6360.937289464793,-8062.427327149193,63.38167581729158
-50.204081632653065,210.96307229519908,-61.83674728255354,10806.991775964285,10.0,Pismis_5,7141.888765465802,-8110.710496484821,-29.51863282672184
-50.204081632653065,213.61974832059218,-61.149303606375376,10066.070494491445,30.19951720402019,Platais_8,6836.714443552004,-7388.141284160103,21.89024183894935
-50.204081632653065,216.33372799687578,-60.87411628434623,10594.709453536714,50.118723362727245,Platais_9,7374.501621070099,-7606.870820565307,-10.514985819224421
-50.204081632653065,210.88782915752935,-61.373348316790825,10597.613683532876,9.549925860214367,Pozzo_1,7016.421007621649,-7942.052512942786,55.26220107836798
-50.204081632653065,207.0990188768017,-62.26540201413543,10435.905954526996,34.673685045253166,RSG_5,6638.752820458661,-8051.993170650054,-22.362030074383256
-50.204081632653065,204.93184977660545,-62.519385523381345,10022.386829195315,38.904514499428046,RSG_7,6234.977888351948,-7846.809831007599,-29.39322698256683
-50.204081632653065,206.12713754791238,-62.38872816671937,10055.353632813114,26.915348039269134,RSG_8,6333.179671726431,-7810.268824661696,-25.93864060722899
-50.204081632653065,216.04348678785243,-60.88038556141113,10196.439338271637,97.72372209558112,Roslund_5,7080.094539521174,-7337.549398944963,-2.3040265142603857
-50.204081632653065,210.07095785738116,-61.84521357749745,10539.037931022853,89.12509381337459,Roslund_6,6908.379702022902,-7958.990036754862,-9.380781056383967
-50.204081632653065,212.44043677210374,-62.042266872373965,10080.645761981765,28.183829312644548,Stephenson_1,6741.3057721369,-7494.314274694723,-97.30887534800195
-50.204081632653065,178.86590406702132,-62.479129953484964,10211.586118811016,81.28305161640996,Stock_10,4558.952765338173,-9137.256366222147,-54.65201956096416
-50.204081632653065,178.9632122629656,-62.32131795717974,10126.477659298476,72.44359600749905,Stock_7,4522.617657834201,-9060.399659360377,-25.245157551266402
-50.204081632653065,216.98246945016166,-61.166585930274145,10540.211574590034,37.15352290971728,Teutsch_38,7361.184841393883,-7543.366985806177,-81.43884456489104
-50.204081632653065,217.12483955749065,-60.97338449980453,10668.137332146918,32.35936569296281,Trumpler_10,7468.570921531931,-7617.527711496197,-53.61056035794081
-50.204081632653065,175.69492239089135,-62.37191293096341,9584.000495766686,46.7735141287198,Trumpler_3,4060.1374228744394,-8681.0011799366,-92.56416244921184
-50.204081632653065,214.05130308083633,-61.55779882756438,9901.952399040929,69.18309709189363,UBC_1,6733.515878067159,-7259.834832211649,-56.77536170120675
-50.204081632653065,191.80761901165275,-63.69614159021674,9410.48915973143,14.125375446227554,UBC_10a,5050.98408006835,-7938.914530628108,-136.02251174253252
-50.204081632653065,192.9170041620569,-63.40126084825217,8996.391708629933,56.23413251903491,UBC_10b,4894.00324049157,-7548.303338797489,-83.14302533649516
-50.204081632653065,214.48623797226543,-60.95482620424353,11324.083907604603,67.60829753919819,UBC_11,7757.551365634834,-8249.490488296486,34.34879200832438
-50.204081632653065,219.64905142765673,-59.5694551101133,10497.085486330883,52.48074602497723,UBC_14,7566.994296031295,-7274.615520498785,96.79907069033197
-50.204081632653065,198.37574371842842,-61.997611529304876,9653.563073614965,14.45439770745928,UBC_159,5607.95639152907,-7856.562149661111,128.59360591805353
-50.204081632653065,192.66106984116385,-63.71098523627807,9313.462200437218,21.87761623949552,UBC_167,5050.652970002646,-7823.865287392668,-136.43570027071564
-50.204081632653065,192.06266397226466,-63.22739148175147,9615.378473996467,10.232929922807536,UBC_178,5176.566476187496,-8102.780752789176,-60.05654032327175
-50.204081632653065,204.93142124283594,-61.864596453583104,10432.613447917382,18.620871366628656,UBC_17a,6507.3185382506,-8153.940000825876,86.5520556563024
-50.204081632653065,208.81118230830202,-61.54472853490194,10589.46994413288,11.481536214968816,UBC_17b,6871.028013374983,-8057.333100048694,72.32601170745784
-50.204081632653065,208.58093866777597,-61.467116866224245,10568.613419377521,15.13561248436207,UBC_207,6845.083679833684,-8051.840758462852,90.991343970255
-50.204081632653065,213.39664183762383,-62.08600369714064,10130.434769199133,35.481338923357534,UBC_26,6828.507130171313,-7482.009937252578,-129.33013976593384
-50.204081632653065,204.65145745119855,-62.03618176591217,10612.885523641833,26.30267991895381,UBC_31,6596.548559115016,-8313.550932385446,61.29551204647578
-50.204081632653065,175.50531014038742,-61.7737616614161,9572.95384863319,33.88441561392027,UBC_55,4018.742080015807,-8688.564753868006,0.014622555532696424
-50.204081632653065,206.02202517330954,-62.21732061512617,10670.610428060738,31.622776601683796,UBC_7,6718.834441854044,-8289.702015859095,5.5802021574763785
-50.204081632653065,177.96963234895438,-61.58650061411192,9676.816540416065,52.48074602497723,UBC_88,4228.005232486999,-8703.932349186956,79.44665952270134
-50.204081632653065,214.31342171393013,-61.81368729629099,10095.575374601656,26.30267991895381,UBC_9,6869.402842270952,-7397.32124027249,-107.63458123017199
-50.204081632653065,211.306553772674,-61.3689316942381,9813.92964867327,40.7380277804113,UPK_108,6522.445870067924,-7332.743220134209,42.33070656012114
-50.204081632653065,214.53341167126325,-60.85559272006036,10030.707133469472,48.97788193684466,UPK_113,6878.401707330405,-7300.726252191976,45.51637710163004
-50.204081632653065,197.15864754253008,-62.28337869909399,9810.07001548972,26.915348039269134,UPK_166,5616.780969247112,-8042.466579421949,89.31165206703326
-50.204081632653065,197.87892529852942,-62.07384061668945,9771.49157647547,36.3078054770101,UPK_168,5643.391718462957,-7976.193834444942,120.45520527248846
-50.204081632653065,196.05607623463138,-63.29081231929834,9352.525108386404,13.80384264602884,UPK_169,5279.408027557624,-7719.589845997515,-74.22527285431397
-50.204081632653065,203.92789613765117,-62.02767107631645,9982.983909603523,70.79457843841374,UPK_185,6159.491182151385,-7855.940403594564,69.544888903833
-50.204081632653065,225.5895722724796,-58.64152006408039,10372.810541403103,72.44359600749905,UPK_26,7860.875996438345,-6767.704293923947,2.3846312273058174
-50.204081632653065,203.21984074018184,-62.09913049536262,10497.17249730711,11.748975549395302,UPK_385,6427.772111164476,-8298.761235446336,70.27148931216016
-50.204081632653065,201.4807980645377,-62.21774800766264,10439.121382990525,19.49844599758045,UPK_422,6273.346073781082,-8343.58754433912,70.22234213229513
-50.204081632653065,197.73048105905593,-62.573037219004775,10693.60775610718,25.70395782768865,UPK_436,6160.052973918508,-8741.018289614582,39.91817401565095
-50.204081632653065,219.83152096971796,-60.39455311581592,10693.139187571298,72.44359600749905,UPK_502,7676.3610157816665,-7444.0771670265485,-49.21759354581536
-50.204081632653065,221.8128988196218,-60.44120151584172,11235.03426536653,100.0,UPK_508,8182.577368741594,-7697.519432839606,-140.06116369123538
-50.204081632653065,213.1057676087257,-61.063423967272826,10823.158328557507,30.90295432513592,UPK_526,7321.790042237001,-7970.525486635388,53.5747078249633
-50.204081632653065,211.94680532901842,-61.60869478628165,9999.190190066192,89.12509381337459,UPK_533,6674.808453606661,-7445.172055688687,-12.232169444800093
-50.204081632653065,206.46095399525007,-62.40753427192449,10651.218371749583,33.113112148259084,UPK_535,6729.722532902143,-8255.781619238785,-36.841393622129544
-50.204081632653065,205.46166428404908,-61.78422376142723,10700.682384773354,37.15352290971728,UPK_540,6712.536599901345,-8332.916827794263,94.62048323086674
-50.204081632653065,212.48256823201072,-61.59201949647963,9967.06581271985,79.43282347242821,UPK_545,6685.46372385601,-7392.325049268366,-22.496178643471467
-50.204081632653065,221.9589307318018,-59.523689233431654,11773.707594558755,97.72372209558112,UPK_562,8640.342711392463,-7997.773843765619,16.789753901911354
-50.204081632653065,218.67876349664402,-59.630020399533244,11504.448949931399,77.62471166286912,UPK_585,8226.566186853051,-8041.023131440063,133.79616791798435
-50.204081632653065,224.40889761011996,-60.04456077772011,11132.697880597327,19.49844599758045,UPK_599,8282.374363539295,-7436.804066039657,-182.1600564868604
-50.204081632653065,217.7768221499967,-60.02436493007742,10769.82706359922,69.18309709189363,UPK_605,7626.313172578861,-7603.983256958208,89.22444442826327
-50.204081632653065,212.07741737039515,-60.8975378134735,10242.280498497854,100.0,UPK_612,6872.280065074352,-7593.740039151931,105.77681632544636
-50.204081632653065,220.59148635086666,-60.38799717906532,10892.52560059236,100.0,UPK_614,7864.938376559534,-7535.4989955606,-78.18683000508736
-50.204081632653065,222.67473487496437,-59.58406996602377,11789.924089967477,70.79457843841374,UPK_617,8694.003437677738,-7963.409063510057,-27.025174355319905
-50.204081632653065,214.30967970096964,-61.23670212219781,10423.233468131233,39.81071705534969,UPK_624,7117.525891020568,-7614.754261383227,-11.77542223875571
-50.204081632653065,212.9611515114049,-61.382466499956315,10179.164392819619,25.118864315095824,UPK_640,6864.707693607408,-7516.061199896041,0.23830931413704093
-50.204081632653065,218.2106678075799,-60.43552954994381,10314.154816210288,79.43282347242821,UPK_654,7309.484374083902,-7276.896496038217,2.267977929332119
-50.204081632653065,217.06609470925164,-60.78229872820395,10263.683900048052,81.28305161640996,UPK_82,7191.023722623988,-7323.391744239327,-17.843238829031634
-50.204081632653065,213.02058918091774,-61.53040814845792,9648.120175434959,48.97788193684466,UPK_90,6504.282759293499,-7126.002106563255,-24.953637981354404
